Date tot,Outbreaks_Global,Africa,America,Asia_Pacific,Europe
1/1/2005,0,0,0,0,0
1/2/2005,0,0,0,0,0
1/3/2005,0,0,0,0,0
1/4/2005,0,0,0,0,0
1/5/2005,0,0,0,0,0
1/6/2005,0,0,0,0,0
1/7/2005,0,0,0,0,0
1/8/2005,0,0,0,0,0
1/9/2005,0,0,0,0,0
1/10/2005,0,0,0,0,0
1/11/2005,0,0,0,0,0
1/12/2005,0,0,0,0,0
1/13/2005,0,0,0,0,0
1/14/2005,0,0,0,0,0
1/15/2005,0,0,0,0,0
1/16/2005,0,0,0,0,0
1/17/2005,0,0,0,0,0
1/18/2005,0,0,0,0,0
1/19/2005,0,0,0,0,0
1/20/2005,0,0,0,0,0
1/21/2005,0,0,0,0,0
1/22/2005,0,0,0,0,0
1/23/2005,0,0,0,0,0
1/24/2005,0,0,0,0,0
1/25/2005,0,0,0,0,0
1/26/2005,0,0,0,0,0
1/27/2005,0,0,0,0,0
1/28/2005,0,0,0,0,0
1/29/2005,0,0,0,0,0
1/30/2005,0,0,0,0,0
1/31/2005,0,0,0,0,0
2/1/2005,0,0,0,0,0
2/2/2005,0,0,0,0,0
2/3/2005,0,0,0,0,0
2/4/2005,0,0,0,0,0
2/5/2005,0,0,0,0,0
2/6/2005,0,0,0,0,0
2/7/2005,0,0,0,0,0
2/8/2005,0,0,0,0,0
2/9/2005,0,0,0,0,0
2/10/2005,0,0,0,0,0
2/11/2005,0,0,0,0,0
2/12/2005,0,0,0,0,0
2/13/2005,0,0,0,0,0
2/14/2005,0,0,0,0,0
2/15/2005,0,0,0,0,0
2/16/2005,0,0,0,0,0
2/17/2005,0,0,0,0,0
2/18/2005,0,0,0,0,0
2/19/2005,0,0,0,0,0
2/20/2005,0,0,0,0,0
2/21/2005,0,0,0,0,0
2/22/2005,0,0,0,0,0
2/23/2005,0,0,0,0,0
2/24/2005,0,0,0,0,0
2/25/2005,1,0,0,1,0
2/26/2005,0,0,0,0,0
2/27/2005,0,0,0,0,0
2/28/2005,0,0,0,0,0
3/1/2005,0,0,0,0,0
3/2/2005,0,0,0,0,0
3/3/2005,0,0,0,0,0
3/4/2005,0,0,0,0,0
3/5/2005,2,0,0,2,0
3/6/2005,0,0,0,0,0
3/7/2005,0,0,0,0,0
3/8/2005,0,0,0,0,0
3/9/2005,0,0,0,0,0
3/10/2005,0,0,0,0,0
3/11/2005,0,0,0,0,0
3/12/2005,0,0,0,0,0
3/13/2005,0,0,0,0,0
3/14/2005,0,0,0,0,0
3/15/2005,0,0,0,0,0
3/16/2005,0,0,0,0,0
3/17/2005,0,0,0,0,0
3/18/2005,0,0,0,0,0
3/19/2005,0,0,0,0,0
3/20/2005,0,0,0,0,0
3/21/2005,0,0,0,0,0
3/22/2005,0,0,0,0,0
3/23/2005,0,0,0,0,0
3/24/2005,0,0,0,0,0
3/25/2005,0,0,0,0,0
3/26/2005,0,0,0,0,0
3/27/2005,0,0,0,0,0
3/28/2005,0,0,0,0,0
3/29/2005,0,0,0,0,0
3/30/2005,0,0,0,0,0
3/31/2005,0,0,0,0,0
4/1/2005,0,0,0,0,0
4/2/2005,0,0,0,0,0
4/3/2005,0,0,0,0,0
4/4/2005,0,0,0,0,0
4/5/2005,0,0,0,0,0
4/6/2005,0,0,0,0,0
4/7/2005,0,0,0,0,0
4/8/2005,0,0,0,0,0
4/9/2005,0,0,0,0,0
4/10/2005,0,0,0,0,0
4/11/2005,0,0,0,0,0
4/12/2005,0,0,0,0,0
4/13/2005,0,0,0,0,0
4/14/2005,0,0,0,0,0
4/15/2005,0,0,0,0,0
4/16/2005,0,0,0,0,0
4/17/2005,0,0,0,0,0
4/18/2005,0,0,0,0,0
4/19/2005,0,0,0,0,0
4/20/2005,0,0,0,0,0
4/21/2005,0,0,0,0,0
4/22/2005,0,0,0,0,0
4/23/2005,0,0,0,0,0
4/24/2005,0,0,0,0,0
4/25/2005,0,0,0,0,0
4/26/2005,0,0,0,0,0
4/27/2005,0,0,0,0,0
4/28/2005,0,0,0,0,0
4/29/2005,0,0,0,0,0
4/30/2005,0,0,0,0,0
5/1/2005,0,0,0,0,0
5/2/2005,0,0,0,0,0
5/3/2005,0,0,0,0,0
5/4/2005,0,0,0,0,0
5/5/2005,0,0,0,0,0
5/6/2005,0,0,0,0,0
5/7/2005,0,0,0,0,0
5/8/2005,0,0,0,0,0
5/9/2005,0,0,0,0,0
5/10/2005,0,0,0,0,0
5/11/2005,0,0,0,0,0
5/12/2005,0,0,0,0,0
5/13/2005,0,0,0,0,0
5/14/2005,0,0,0,0,0
5/15/2005,0,0,0,0,0
5/16/2005,0,0,0,0,0
5/17/2005,0,0,0,0,0
5/18/2005,0,0,0,0,0
5/19/2005,0,0,0,0,0
5/20/2005,0,0,0,0,0
5/21/2005,0,0,0,0,0
5/22/2005,0,0,0,0,0
5/23/2005,0,0,0,0,0
5/24/2005,0,0,0,0,0
5/25/2005,0,0,0,0,0
5/26/2005,0,0,0,0,0
5/27/2005,0,0,0,0,0
5/28/2005,0,0,0,0,0
5/29/2005,0,0,0,0,0
5/30/2005,0,0,0,0,0
5/31/2005,0,0,0,0,0
6/1/2005,0,0,0,0,0
6/2/2005,0,0,0,0,0
6/3/2005,0,0,0,0,0
6/4/2005,0,0,0,0,0
6/5/2005,0,0,0,0,0
6/6/2005,0,0,0,0,0
6/7/2005,0,0,0,0,0
6/8/2005,0,0,0,0,0
6/9/2005,0,0,0,0,0
6/10/2005,0,0,0,0,0
6/11/2005,0,0,0,0,0
6/12/2005,0,0,0,0,0
6/13/2005,0,0,0,0,0
6/14/2005,0,0,0,0,0
6/15/2005,0,0,0,0,0
6/16/2005,0,0,0,0,0
6/17/2005,0,0,0,0,0
6/18/2005,0,0,0,0,0
6/19/2005,0,0,0,0,0
6/20/2005,0,0,0,0,0
6/21/2005,0,0,0,0,0
6/22/2005,0,0,0,0,0
6/23/2005,0,0,0,0,0
6/24/2005,0,0,0,0,0
6/25/2005,0,0,0,0,0
6/26/2005,0,0,0,0,0
6/27/2005,0,0,0,0,0
6/28/2005,0,0,0,0,0
6/29/2005,0,0,0,0,0
6/30/2005,0,0,0,0,0
7/1/2005,0,0,0,0,0
7/2/2005,0,0,0,0,0
7/3/2005,0,0,0,0,0
7/4/2005,0,0,0,0,0
7/5/2005,0,0,0,0,0
7/6/2005,0,0,0,0,0
7/7/2005,0,0,0,0,0
7/8/2005,0,0,0,0,0
7/9/2005,0,0,0,0,0
7/10/2005,0,0,0,0,0
7/11/2005,0,0,0,0,0
7/12/2005,0,0,0,0,0
7/13/2005,0,0,0,0,0
7/14/2005,0,0,0,0,0
7/15/2005,0,0,0,0,0
7/16/2005,0,0,0,0,0
7/17/2005,0,0,0,0,0
7/18/2005,1,0,0,0,1
7/19/2005,0,0,0,0,0
7/20/2005,0,0,0,0,0
7/21/2005,0,0,0,0,0
7/22/2005,4,0,0,1,3
7/23/2005,1,0,0,0,1
7/24/2005,2,0,0,0,2
7/25/2005,3,0,0,0,3
7/26/2005,0,0,0,0,0
7/27/2005,1,0,0,0,1
7/28/2005,1,0,0,0,1
7/29/2005,1,0,0,0,1
7/30/2005,10,0,0,0,10
7/31/2005,0,0,0,0,0
8/1/2005,0,0,0,0,0
8/2/2005,3,0,0,2,1
8/3/2005,2,0,0,0,2
8/4/2005,9,0,0,0,9
8/5/2005,6,0,0,0,6
8/6/2005,3,0,0,0,3
8/7/2005,0,0,0,0,0
8/8/2005,6,0,0,0,6
8/9/2005,3,0,0,0,3
8/10/2005,13,0,0,0,13
8/11/2005,6,0,0,0,6
8/12/2005,1,0,0,0,1
8/13/2005,3,0,0,0,3
8/14/2005,1,0,0,0,1
8/15/2005,4,0,0,0,4
8/16/2005,0,0,0,0,0
8/17/2005,2,0,0,0,2
8/18/2005,3,0,0,0,3
8/19/2005,1,0,0,0,1
8/20/2005,1,0,0,0,1
8/21/2005,0,0,0,0,0
8/22/2005,0,0,0,0,0
8/23/2005,0,0,0,0,0
8/24/2005,5,0,0,0,5
8/25/2005,0,0,0,0,0
8/26/2005,0,0,0,0,0
8/27/2005,1,0,0,0,1
8/28/2005,0,0,0,0,0
8/29/2005,0,0,0,0,0
8/30/2005,0,0,0,0,0
8/31/2005,0,0,0,0,0
9/1/2005,0,0,0,0,0
9/2/2005,0,0,0,0,0
9/3/2005,0,0,0,0,0
9/4/2005,0,0,0,0,0
9/5/2005,0,0,0,0,0
9/6/2005,0,0,0,0,0
9/7/2005,0,0,0,0,0
9/8/2005,0,0,0,0,0
9/9/2005,0,0,0,0,0
9/10/2005,0,0,0,0,0
9/11/2005,0,0,0,0,0
9/12/2005,0,0,0,0,0
9/13/2005,0,0,0,0,0
9/14/2005,1,0,0,0,1
9/15/2005,0,0,0,0,0
9/16/2005,0,0,0,0,0
9/17/2005,0,0,0,0,0
9/18/2005,0,0,0,0,0
9/19/2005,0,0,0,0,0
9/20/2005,0,0,0,0,0
9/21/2005,0,0,0,0,0
9/22/2005,0,0,0,0,0
9/23/2005,0,0,0,0,0
9/24/2005,0,0,0,0,0
9/25/2005,0,0,0,0,0
9/26/2005,0,0,0,0,0
9/27/2005,0,0,0,0,0
9/28/2005,0,0,0,0,0
9/29/2005,0,0,0,0,0
9/30/2005,0,0,0,0,0
10/1/2005,1,0,0,1,0
10/2/2005,1,0,0,0,1
10/3/2005,2,0,0,0,2
10/4/2005,1,0,0,0,1
10/5/2005,0,0,0,0,0
10/6/2005,0,0,0,0,0
10/7/2005,4,0,0,0,4
10/8/2005,0,0,0,0,0
10/9/2005,0,0,0,0,0
10/10/2005,1,0,0,0,1
10/11/2005,1,0,0,0,1
10/12/2005,0,0,0,0,0
10/13/2005,1,0,0,0,1
10/14/2005,3,0,0,0,3
10/15/2005,0,0,0,0,0
10/16/2005,0,0,0,0,0
10/17/2005,3,0,0,0,3
10/18/2005,0,0,0,0,0
10/19/2005,1,0,0,0,1
10/20/2005,1,0,0,0,1
10/21/2005,3,0,0,0,3
10/22/2005,0,0,0,0,0
10/23/2005,0,0,0,0,0
10/24/2005,2,0,0,0,2
10/25/2005,0,0,0,0,0
10/26/2005,1,0,0,0,1
10/27/2005,2,0,0,0,2
10/28/2005,3,0,0,0,3
10/29/2005,0,0,0,0,0
10/30/2005,0,0,0,0,0
10/31/2005,0,0,0,0,0
11/1/2005,0,0,0,0,0
11/2/2005,0,0,0,0,0
11/3/2005,0,0,0,0,0
11/4/2005,0,0,0,0,0
11/5/2005,0,0,0,0,0
11/6/2005,0,0,0,0,0
11/7/2005,0,0,0,0,0
11/8/2005,0,0,0,0,0
11/9/2005,1,0,0,1,0
11/10/2005,0,0,0,0,0
11/11/2005,0,0,0,0,0
11/12/2005,0,0,0,0,0
11/13/2005,0,0,0,0,0
11/14/2005,0,0,0,0,0
11/15/2005,2,0,0,0,2
11/16/2005,0,0,0,0,0
11/17/2005,0,0,0,0,0
11/18/2005,0,0,0,0,0
11/19/2005,1,0,0,0,1
11/20/2005,0,0,0,0,0
11/21/2005,3,0,0,1,2
11/22/2005,1,0,0,0,1
11/23/2005,1,0,0,0,1
11/24/2005,0,0,0,0,0
11/25/2005,6,0,0,1,5
11/26/2005,0,0,0,0,0
11/27/2005,1,0,0,1,0
11/28/2005,3,2,0,0,1
11/29/2005,1,0,0,1,0
11/30/2005,1,0,0,0,1
12/1/2005,2,0,0,0,2
12/2/2005,1,0,0,0,1
12/3/2005,0,0,0,0,0
12/4/2005,0,0,0,0,0
12/5/2005,1,0,0,0,1
12/6/2005,0,0,0,0,0
12/7/2005,8,0,0,0,8
12/8/2005,1,0,0,0,1
12/9/2005,4,0,0,0,4
12/10/2005,1,0,0,0,1
12/11/2005,0,0,0,0,0
12/12/2005,4,0,0,0,4
12/13/2005,7,0,0,0,7
12/14/2005,2,0,0,0,2
12/15/2005,8,0,0,2,6
12/16/2005,3,0,0,0,3
12/17/2005,0,0,0,0,0
12/18/2005,1,0,0,0,1
12/19/2005,3,0,0,0,3
12/20/2005,3,0,0,0,3
12/21/2005,0,0,0,0,0
12/22/2005,2,0,0,0,2
12/23/2005,0,0,0,0,0
12/24/2005,1,0,0,0,1
12/25/2005,0,0,0,0,0
12/26/2005,0,0,0,0,0
12/27/2005,1,0,0,0,1
12/28/2005,4,0,0,1,3
12/29/2005,0,0,0,0,0
12/30/2005,1,0,0,1,0
12/31/2005,1,0,0,1,0
1/1/2006,0,0,0,0,0
1/2/2006,4,0,0,4,0
1/3/2006,2,0,0,1,1
1/4/2006,0,0,0,0,0
1/5/2006,4,0,0,4,0
1/6/2006,16,0,0,16,0
1/7/2006,9,0,0,9,0
1/8/2006,8,0,0,8,0
1/9/2006,16,0,0,16,0
1/10/2006,6,1,0,2,3
1/11/2006,12,0,0,12,0
1/12/2006,19,0,0,19,0
1/13/2006,2,0,0,1,1
1/14/2006,2,0,0,1,1
1/15/2006,4,0,0,4,0
1/16/2006,3,0,0,2,1
1/17/2006,2,0,0,0,2
1/18/2006,6,1,0,5,0
1/19/2006,2,1,0,1,0
1/20/2006,0,0,0,0,0
1/21/2006,0,0,0,0,0
1/22/2006,0,0,0,0,0
1/23/2006,1,0,0,1,0
1/24/2006,0,0,0,0,0
1/25/2006,2,0,0,0,2
1/26/2006,5,2,0,2,1
1/27/2006,2,0,0,2,0
1/28/2006,0,0,0,0,0
1/29/2006,4,1,0,3,0
1/30/2006,2,0,0,1,1
1/31/2006,9,0,0,7,2
2/1/2006,3,0,0,0,3
2/2/2006,11,2,0,8,1
2/3/2006,13,0,0,9,4
2/4/2006,3,0,0,1,2
2/5/2006,5,0,0,3,2
2/6/2006,8,0,0,5,3
2/7/2006,3,0,0,3,0
2/8/2006,5,0,0,3,2
2/9/2006,1,0,0,0,1
2/10/2006,2,0,0,0,2
2/11/2006,4,1,0,1,2
2/12/2006,2,0,0,0,2
2/13/2006,12,6,0,1,5
2/14/2006,5,0,0,1,4
2/15/2006,5,2,0,2,1
2/16/2006,11,1,0,5,5
2/17/2006,25,17,0,2,6
2/18/2006,14,10,0,3,1
2/19/2006,18,6,0,1,11
2/20/2006,34,6,0,7,21
2/21/2006,11,6,0,4,1
2/22/2006,14,5,0,7,2
2/23/2006,10,1,0,6,3
2/24/2006,9,3,0,5,1
2/25/2006,14,13,0,1,0
2/26/2006,13,9,0,0,4
2/27/2006,9,2,0,1,6
2/28/2006,15,9,0,0,6
3/1/2006,13,11,0,0,2
3/2/2006,13,4,0,1,8
3/3/2006,9,3,0,2,4
3/4/2006,14,11,0,0,3
3/5/2006,16,5,0,1,10
3/6/2006,21,13,0,4,4
3/7/2006,9,3,0,3,3
3/8/2006,19,14,0,2,3
3/9/2006,9,6,0,1,2
3/10/2006,18,9,0,1,8
3/11/2006,14,9,0,1,4
3/12/2006,17,12,0,4,1
3/13/2006,16,9,0,4,3
3/14/2006,15,6,0,3,6
3/15/2006,9,1,0,4,4
3/16/2006,35,23,0,7,5
3/17/2006,27,14,0,6,7
3/18/2006,37,26,0,5,6
3/19/2006,22,15,0,4,3
3/20/2006,50,35,0,9,6
3/21/2006,81,66,0,10,5
3/22/2006,25,12,0,8,5
3/23/2006,41,32,0,6,3
3/24/2006,22,4,0,7,11
3/25/2006,20,13,0,5,2
3/26/2006,21,17,0,3,1
3/27/2006,21,12,0,2,7
3/28/2006,24,15,0,6,3
3/29/2006,20,19,0,0,1
3/30/2006,14,2,0,4,8
3/31/2006,32,21,0,4,7
4/1/2006,24,17,0,5,2
4/2/2006,11,5,0,6,0
4/3/2006,21,16,0,1,4
4/4/2006,22,14,0,1,7
4/5/2006,15,10,0,2,3
4/6/2006,19,12,0,0,7
4/7/2006,4,0,0,0,4
4/8/2006,10,10,0,0,0
4/9/2006,7,6,0,0,1
4/10/2006,6,5,0,1,0
4/11/2006,6,4,0,0,2
4/12/2006,10,6,0,1,3
4/13/2006,13,9,0,2,2
4/14/2006,5,4,0,0,1
4/15/2006,7,7,0,0,0
4/16/2006,9,8,0,1,0
4/17/2006,13,9,0,4,0
4/18/2006,13,7,0,1,5
4/19/2006,14,8,0,0,6
4/20/2006,9,3,0,2,4
4/21/2006,0,0,0,0,0
4/22/2006,1,1,0,0,0
4/23/2006,1,0,0,1,0
4/24/2006,5,1,0,0,4
4/25/2006,13,9,0,3,1
4/26/2006,3,3,0,0,0
4/27/2006,4,3,0,0,1
4/28/2006,6,1,0,0,5
4/29/2006,4,4,0,0,0
4/30/2006,3,3,0,0,0
5/1/2006,0,0,0,0,0
5/2/2006,2,1,0,0,1
5/3/2006,1,0,0,0,1
5/4/2006,3,0,0,1,2
5/5/2006,2,2,0,0,0
5/6/2006,0,0,0,0,0
5/7/2006,1,0,0,0,1
5/8/2006,4,0,0,0,4
5/9/2006,1,0,0,0,1
5/10/2006,1,1,0,0,0
5/11/2006,2,2,0,0,0
5/12/2006,4,2,0,0,2
5/13/2006,9,1,0,0,8
5/14/2006,2,0,0,0,2
5/15/2006,21,0,0,0,21
5/16/2006,7,1,0,0,6
5/17/2006,14,0,0,0,14
5/18/2006,11,1,0,0,10
5/19/2006,6,2,0,0,4
5/20/2006,13,0,0,0,13
5/21/2006,2,0,0,2,0
5/22/2006,11,1,0,0,10
5/23/2006,3,0,0,0,3
5/24/2006,1,0,0,0,1
5/25/2006,5,3,0,0,2
5/26/2006,9,0,0,2,7
5/27/2006,2,1,0,0,1
5/28/2006,2,0,0,0,2
5/29/2006,2,0,0,0,2
5/30/2006,1,0,0,0,1
5/31/2006,1,1,0,0,0
6/1/2006,0,0,0,0,0
6/2/2006,1,1,0,0,0
6/3/2006,0,0,0,0,0
6/4/2006,2,1,0,0,1
6/5/2006,1,0,0,1,0
6/6/2006,0,0,0,0,0
6/7/2006,0,0,0,0,0
6/8/2006,2,2,0,0,0
6/9/2006,0,0,0,0,0
6/10/2006,33,33,33,33,33
6/11/2006,33,33,33,33,33
6/12/2006,33,33,33,33,33
